incorrect,correct
1 මම ැටුම් නටද්දී ලස්සන මම ගෙරද යවමි,1 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යවමි
0 මම නැටුම් නටද්දී ලස්සන ම ගෙදර යවමු,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යවමු
0 මම නැටුම් නද්දී ලස්සන මම ගෙදර යවයි,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යවයි
0 මම නැටු්ම ටද්දී ලස්සන මම ගෙදර යවහි,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යවහි
0 මම නැටු නටද්දී ලස්සන මම ගෙදර යවහු,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යවහු
0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යවු,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යවු
0 මම නැටම් නද්දී ලස්සන මම ගෙදර යහි,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යහි
0 මම නැටුම් නටද්දී ලස්සන මම ගදර යහිවා,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යහිවා
0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර හයු,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යහු
0 ම ැනටුම් නටද්දී ලස්සන මම ගෙදර යහුවා,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යහුවා
0 මම නැටුම් නටද්දී ලස්සන මම ෙදර යනලදී,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යනලදී
1 මම නැටුම් නටද්දී ලස්සන මම ගෙදර ගියෙමි,1 මම නැටුම් නටද්දී ලස්සන මම ගෙදර ගියෙමි
0 මම නැටුම් නද්දී ලස්සන මම ගෙදර ගියෙමු,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර ගියෙමු
0 මම නැටුම් නදට්දී ලස්සන මම ගෙදර ගියෙහි,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර ගියෙහි
0 ම නැටුම් නටද්දී ලස්සන මම ගෙදර ගියෙහු,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර ගියෙහු
0 මම නැටුම් නටද්දී ලස්සන මම ගෙර ිගයාය,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර ගියාය
0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර ගියේය,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර ගියේය
0 මම නැටුම් නටද්දී සල්සන මම ගෙදර ගියෝය,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර ගියෝය
0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යැව,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යැවේ
1 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යැවෙම,1 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යැවෙමි
0 මම නැටුම් නටද්දී ලස්සන ම ගෙදර යැවෙමු,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යැවෙමු
0 මම නැටුම් නටද්දී ලස්නස මම ගෙදර යැවෙහි,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යැවෙහි
0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යැවෙහු,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යැවෙහු
0 මම නැටුම් නටද්දී ලස්සන මම ගෙරද යැවෙයි,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යැවෙයි
0 මම නැටුම් නටද්දී ලස්සන මම ගෙර යැවෙති,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යැවෙති
0 මම නැටුම් නටද්දී ලස්ස මම ගෙදර යැවවෙයි,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යැවවෙයි
0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යැවවෙති,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යැවවෙති
0 මම නැටුම් නටද්දී ලස්ස මම ගෙදර යැවවේ,0 මම නැටුම් නටද්දී ලස්සන මම ගෙදර යැවවේ
0 මම නැටුම් නටද්දී ලස්සන අපි ගෙදර යිත,0 මම නැටුම් නටද්දී ලස්සන අපි ගෙදර යති
0 මම නැටුම් නටද්දී ලස්සන අපි ගදෙර යත්වා,0 මම නැටුම් නටද්දී ලස්සන අපි ගෙදර යත්වා
0 මම නැටුම් නටද්දී ලස්සන අපි ගෙදර යනව,0 මම නැටුම් නටද්දී ලස්සන අපි ගෙදර යනවා
0 මම නැටුම් නටද්දී ලස්සන අපි ගෙදර යනවලාා,0 මම නැටුම් නටද්දී ලස්සන අපි ගෙදර යනවාලා
0 මම නැටුම් නටද්දී සල්සන අප ගෙදර යනු,0 මම නැටුම් නටද්දී ලස්සන අපි ගෙදර යනු
0 මම නැටුම් නටද්දී ලස්නස අපි ගෙදර යන්න,0 මම නැටුම් නටද්දී ලස්සන අපි ගෙදර යන්න
0 මම නැටුම් නටද්දී ලස්ස අපි ගෙදර යන්නීය,0 මම නැටුම් නටද්දී ලස්සන අපි ගෙදර යන්නීය
0 ම නැටුම් නටද්ීද ලස්සන අපි ගෙදර යන්නෙමි,0 මම නැටුම් නටද්දී ලස්සන අපි ගෙදර යන්නෙමි
0 මම නැටුම් නටද්දී සල්සන අපි ගෙදර යන්නෙමිවා,0 මම නැටුම් නටද්දී ලස්සන අපි ගෙදර යන්නෙමිවා
